"행정구역(시군구)별(1)","행정구역(시군구)별(2)",성별(1),2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"경상남도","김해시",계,-2200,927,415,7629,-721,-3946,-1852,-977,-1421,1762
"경상남도","밀양시",계,913,0,-381,-553,83,-155,553,138,-226,-239
"경상남도","거제시",계,-968,-4653,-4649,-2799,-2894,-4262,-4103,-2194,-621,-1316
"경상남도","양산시",계,14141,19960,8647,942,811,2505,-589,1592,4781,1950
"경상남도","의령군",계,-138,13,121,-156,-38,-13,212,-146,72,-115
"경상남도","함안군",계,-73,-501,-823,-1008,-1063,-997,-390,-624,-685,-577
"경상남도","창녕군",계,523,438,-266,-590,-467,-401,-818,-529,-252,-403
"경상남도","양산군",계,0,0,0,0,0,0,0,0,0,0
"경상남도","고성군",계,-217,-213,-329,-499,-419,-166,689,-303,-782,-235
"경상남도","남해군",계,-152,85,-41,215,-66,25,57,-126,-269,1611
"경상남도","하동군",계,-241,-324,-867,-548,-1294,-731,-331,-274,-195,-180
"경상남도","산청군",계,309,549,-28,-200,-113,68,322,230,65,28
"경상남도","함양군",계,197,321,256,-19,-107,-161,30,-223,-242,-54
"경상남도","거창군",계,308,-141,137,159,-211,190,-27,205,88,-6
"경상남도","합천군",계,-585,-434,-457,-121,-581,-244,22,-137,-144,-278
"제주특별자치도","제주시",계,8539,6643,5877,2458,2506,1485,1276,-1207,-2619,-2723
"제주특별자치도","서귀포시",계,6093,7362,2976,478,872,2432,1872,-480,-742,-1550
"제주특별자치도","북제주군",계,0,0,0,0,0,0,0,0,0,0
"제주특별자치도","남제주군",계,0,0,0,0,0,0,0,0,0,0
